@T,table,
@H,timestamp,value_1
val,  ,1
,2008-01-01 00:00,98062
,2008-01-01 00:30,98043
,2008-01-01 01:00,98024
,2008-01-01 01:30,98005
,2008-01-01 02:00,97986
,2008-01-01 02:30,97967
,2008-01-01 03:00,97948
,2008-01-01 03:30,97929
,2008-01-01 04:00,97935
,2008-01-01 04:30,97942
,2008-01-01 05:00,97948
,2008-01-01 05:30,97954
,2008-01-01 06:00,97961
,2008-01-01 06:30,97967
,2008-01-01 07:00,97974
,2008-01-01 07:30,97982
,2008-01-01 08:00,97989
,2008-01-01 08:30,97996
,2008-01-01 09:00,98003
,2008-01-01 09:30,98011
,2008-01-01 10:00,97988
,2008-01-01 10:30,97966
,2008-01-01 11:00,97944
,2008-01-01 11:30,97922
,2008-01-01 12:00,97900
,2008-01-01 12:30,97877
,2008-01-01 13:00,97852
,2008-01-01 13:30,97827
,2008-01-01 14:00,97801
,2008-01-01 14:30,97776
,2008-01-01 15:00,97750
,2008-01-01 15:30,97725
,2008-01-01 16:00,97725
,2008-01-01 16:30,97725
,2008-01-01 17:00,97724
,2008-01-01 17:30,97724
,2008-01-01 18:00,97724
,2008-01-01 18:30,97724
,2008-01-01 19:00,97750
,2008-01-01 19:30,97776
,2008-01-01 20:00,97803
,2008-01-01 20:30,97829
,2008-01-01 21:00,97855
,2008-01-01 21:30,97882
,2008-01-01 22:00,97871
,2008-01-01 22:30,97861
,2008-01-01 23:00,97850
,2008-01-01 23:30,97840
,2008-01-02 00:00,97829
,2008-01-02 00:30,97819
,2008-01-02 01:00,97788
,2008-01-02 01:30,97758
,2008-01-02 02:00,97728
,2008-01-02 02:30,97697
,2008-01-02 03:00,97667
,2008-01-02 03:30,97637
,2008-01-02 04:00,97644
,2008-01-02 04:30,97651
,2008-01-02 05:00,97658
,2008-01-02 05:30,97665
,2008-01-02 06:00,97672
,2008-01-02 06:30,97679
,2008-01-02 07:00,97699
,2008-01-02 07:30,97719
,2008-01-02 08:00,97738
,2008-01-02 08:30,97758
,2008-01-02 09:00,97778
,2008-01-02 09:30,97797
,2008-01-02 10:00,97810
,2008-01-02 10:30,97823
,2008-01-02 11:00,97836
,2008-01-02 11:30,97849
,2008-01-02 12:00,97862
,2008-01-02 12:30,97874
,2008-01-02 13:00,97850
,2008-01-02 13:30,97826
,2008-01-02 14:00,97802
,2008-01-02 14:30,97778
,2008-01-02 15:00,97754
,2008-01-02 15:30,97729
,2008-01-02 16:00,97751
,2008-01-02 16:30,97773
,2008-01-02 17:00,97794
,2008-01-02 17:30,97816
,2008-01-02 18:00,97838
,2008-01-02 18:30,97860
,2008-01-02 19:00,97893
,2008-01-02 19:30,97927
,2008-01-02 20:00,97960
,2008-01-02 20:30,97993
,2008-01-02 21:00,98027
,2008-01-02 21:30,98060
,2008-01-02 22:00,98081
,2008-01-02 22:30,98101
,2008-01-02 23:00,98122
,2008-01-02 23:30,98143
,2008-01-03 00:00,98163
,2008-01-03 00:30,98184
,2008-01-03 01:00,98157
,2008-01-03 01:30,98131
,2008-01-03 02:00,98105
,2008-01-03 02:30,98079
,2008-01-03 03:00,98052
,2008-01-03 03:30,98026
,2008-01-03 04:00,98034
,2008-01-03 04:30,98042
,2008-01-03 05:00,98050
,2008-01-03 05:30,98058
,2008-01-03 06:00,98066
,2008-01-03 06:30,98074
,2008-01-03 07:00,98092
,2008-01-03 07:30,98109
,2008-01-03 08:00,98126
,2008-01-03 08:30,98144
,2008-01-03 09:00,98161
,2008-01-03 09:30,98178
,2008-01-03 10:00,98162
,2008-01-03 10:30,98146
,2008-01-03 11:00,98129
,2008-01-03 11:30,98113
,2008-01-03 12:00,98097
,2008-01-03 12:30,98081
,2008-01-03 13:00,98053
,2008-01-03 13:30,98026
,2008-01-03 14:00,97998
,2008-01-03 14:30,97971
,2008-01-03 15:00,97943
,2008-01-03 15:30,97916
,2008-01-03 16:00,97923
,2008-01-03 16:30,97931
,2008-01-03 17:00,97938
,2008-01-03 17:30,97945
,2008-01-03 18:00,97953
,2008-01-03 18:30,97960
,2008-01-03 19:00,97984
,2008-01-03 19:30,98007
,2008-01-03 20:00,98030
,2008-01-03 20:30,98053
,2008-01-03 21:00,98077
,2008-01-03 21:30,98100
,2008-01-03 22:00,98104
,2008-01-03 22:30,98107
,2008-01-03 23:00,98111
,2008-01-03 23:30,98115
,2008-01-04 00:00,98119
,2008-01-04 00:30,98122
,2008-01-04 01:00,98105
,2008-01-04 01:30,98087
,2008-01-04 02:00,98069
,2008-01-04 02:30,98051
,2008-01-04 03:00,98034
,2008-01-04 03:30,98016
,2008-01-04 04:00,98025
,2008-01-04 04:30,98034
,2008-01-04 05:00,98043
,2008-01-04 05:30,98053
,2008-01-04 06:00,98062
,2008-01-04 06:30,98071
,2008-01-04 07:00,98089
,2008-01-04 07:30,98107
,2008-01-04 08:00,98126
,2008-01-04 08:30,98144
,2008-01-04 09:00,98162
,2008-01-04 09:30,98180
,2008-01-04 10:00,98171
,2008-01-04 10:30,98162
,2008-01-04 11:00,98153
,2008-01-04 11:30,98144
,2008-01-04 12:00,98135
,2008-01-04 12:30,98126
,2008-01-04 13:00,98086
,2008-01-04 13:30,98046
,2008-01-04 14:00,98006
,2008-01-04 14:30,97966
,2008-01-04 15:00,97926
,2008-01-04 15:30,97886
,2008-01-04 16:00,97892
,2008-01-04 16:30,97898
,2008-01-04 17:00,97904
,2008-01-04 17:30,97910
,2008-01-04 18:00,97916
,2008-01-04 18:30,97922
,2008-01-04 19:00,97941
,2008-01-04 19:30,97960
,2008-01-04 20:00,97979
,2008-01-04 20:30,97998
,2008-01-04 21:00,98017
,2008-01-04 21:30,98036
,2008-01-04 22:00,98053
,2008-01-04 22:30,98070
,2008-01-04 23:00,98088
,2008-01-04 23:30,98105
,2008-01-05 00:00,98123
,2008-01-05 00:30,98140
,2008-01-05 01:00,98098
,2008-01-05 01:30,98056
,2008-01-05 02:00,98014
,2008-01-05 02:30,97972
,2008-01-05 03:00,97930
,2008-01-05 03:30,97888
,2008-01-05 04:00,97876
,2008-01-05 04:30,97864
,2008-01-05 05:00,97852
,2008-01-05 05:30,97840
,2008-01-05 06:00,97828
,2008-01-05 06:30,97816
,2008-01-05 07:00,97853
,2008-01-05 07:30,97889
,2008-01-05 08:00,97925
,2008-01-05 08:30,97962
,2008-01-05 09:00,97998
,2008-01-05 09:30,98035
,2008-01-05 10:00,98037
,2008-01-05 10:30,98039
,2008-01-05 11:00,98041
,2008-01-05 11:30,98043
,2008-01-05 12:00,98044
,2008-01-05 12:30,98046
,2008-01-05 13:00,98031
,2008-01-05 13:30,98016
,2008-01-05 14:00,98001
,2008-01-05 14:30,97986
,2008-01-05 15:00,97970
,2008-01-05 15:30,97955
,2008-01-05 16:00,97966
,2008-01-05 16:30,97976
,2008-01-05 17:00,97987
,2008-01-05 17:30,97998
,2008-01-05 18:00,98008
,2008-01-05 18:30,98019
,2008-01-05 19:00,98046
,2008-01-05 19:30,98073
,2008-01-05 20:00,98101
,2008-01-05 20:30,98128
,2008-01-05 21:00,98155
,2008-01-05 21:30,98182
,2008-01-05 22:00,98182
,2008-01-05 22:30,98182
,2008-01-05 23:00,98182
,2008-01-05 23:30,98182
,2008-01-06 00:00,98182
,2008-01-06 00:30,98181
,2008-01-06 01:00,98171
,2008-01-06 01:30,98161
,2008-01-06 02:00,98151
,2008-01-06 02:30,98140
,2008-01-06 03:00,98130
,2008-01-06 03:30,98120
,2008-01-06 04:00,98135
,2008-01-06 04:30,98150
,2008-01-06 05:00,98165
,2008-01-06 05:30,98181
,2008-01-06 06:00,98196
,2008-01-06 06:30,98211
,2008-01-06 07:00,98243
,2008-01-06 07:30,98275
,2008-01-06 08:00,98306
,2008-01-06 08:30,98338
,2008-01-06 09:00,98370
,2008-01-06 09:30,98402
,2008-01-06 10:00,98385
,2008-01-06 10:30,98368
,2008-01-06 11:00,98351
,2008-01-06 11:30,98334
,2008-01-06 12:00,98318
,2008-01-06 12:30,98301
,2008-01-06 13:00,98268
,2008-01-06 13:30,98235
,2008-01-06 14:00,98202
,2008-01-06 14:30,98170
,2008-01-06 15:00,98137
,2008-01-06 15:30,98104
,2008-01-06 16:00,98112
,2008-01-06 16:30,98120
,2008-01-06 17:00,98127
,2008-01-06 17:30,98135
,2008-01-06 18:00,98143
,2008-01-06 18:30,98151
,2008-01-06 19:00,98174
,2008-01-06 19:30,98197
,2008-01-06 20:00,98220
,2008-01-06 20:30,98243
,2008-01-06 21:00,98266
,2008-01-06 21:30,98289
,2008-01-06 22:00,98293
,2008-01-06 22:30,98297
,2008-01-06 23:00,98301
,2008-01-06 23:30,98305
,2008-01-07 00:00,98310
,2008-01-07 00:30,98314
,2008-01-07 01:00,98299
,2008-01-07 01:30,98285
,2008-01-07 02:00,98271
,2008-01-07 02:30,98257
,2008-01-07 03:00,98242
,2008-01-07 03:30,98228
,2008-01-07 04:00,98252
,2008-01-07 04:30,98276
,2008-01-07 05:00,98300
,2008-01-07 05:30,98324
,2008-01-07 06:00,98349
,2008-01-07 06:30,98373
,2008-01-07 07:00,98394
,2008-01-07 07:30,98416
