@T,table,
@H,timestamp,value_4
val,  ,4
,2008-01-01 00:00,78668
,2008-01-01 00:30,78658
,2008-01-01 01:00,78648
,2008-01-01 01:30,78620
,2008-01-01 02:00,78593
,2008-01-01 02:30,78565
,2008-01-01 03:00,78537
,2008-01-01 03:30,78510
,2008-01-01 04:00,78482
,2008-01-01 04:30,78472
,2008-01-01 05:00,78463
,2008-01-01 05:30,78453
,2008-01-01 06:00,78443
,2008-01-01 06:30,78433
,2008-01-01 07:00,78424
,2008-01-01 07:30,78416
,2008-01-01 08:00,78408
,2008-01-01 08:30,78400
,2008-01-01 09:00,78392
,2008-01-01 09:30,78385
,2008-01-01 10:00,78377
,2008-01-01 10:30,78359
,2008-01-01 11:00,78340
,2008-01-01 11:30,78322
,2008-01-01 12:00,78304
,2008-01-01 12:30,78285
,2008-01-01 13:00,78267
,2008-01-01 13:30,78250
,2008-01-01 14:00,78233
,2008-01-01 14:30,78216
,2008-01-01 15:00,78199
,2008-01-01 15:30,78182
,2008-01-01 16:00,78165
,2008-01-01 16:30,78172
,2008-01-01 17:00,78179
,2008-01-01 17:30,78186
,2008-01-01 18:00,78193
,2008-01-01 18:30,78200
,2008-01-01 19:00,78208
,2008-01-01 19:30,78205
,2008-01-01 20:00,78202
,2008-01-01 20:30,78199
,2008-01-01 21:00,78196
,2008-01-01 21:30,78193
,2008-01-01 22:00,78190
,2008-01-01 22:30,78189
,2008-01-01 23:00,78188
,2008-01-01 23:30,78187
,2008-01-02 00:00,78186
,2008-01-02 00:30,78185
,2008-01-02 01:00,78184
,2008-01-02 01:30,78164
,2008-01-02 02:00,78144
,2008-01-02 02:30,78124
,2008-01-02 03:00,78103
,2008-01-02 03:30,78083
,2008-01-02 04:00,78063
,2008-01-02 04:30,78053
,2008-01-02 05:00,78043
,2008-01-02 05:30,78032
,2008-01-02 06:00,78022
,2008-01-02 06:30,78012
,2008-01-02 07:00,78002
,2008-01-02 07:30,78002
,2008-01-02 08:00,78002
,2008-01-02 08:30,78003
,2008-01-02 09:00,78003
,2008-01-02 09:30,78003
,2008-01-02 10:00,78004
,2008-01-02 10:30,77994
,2008-01-02 11:00,77983
,2008-01-02 11:30,77973
,2008-01-02 12:00,77963
,2008-01-02 12:30,77953
,2008-01-02 13:00,77943
,2008-01-02 13:30,77919
,2008-01-02 14:00,77896
,2008-01-02 14:30,77873
,2008-01-02 15:00,77850
,2008-01-02 15:30,77827
,2008-01-02 16:00,77804
,2008-01-02 16:30,77795
,2008-01-02 17:00,77785
