@T,table,
@H,timestamp,value_2
val,  ,2
,2000-12-26 00:00,0.1
,2000-12-26 00:30,0.1
,2000-12-26 01:00,0.1
,2000-12-26 01:30,0.1
,2000-12-26 02:00,0.1
,2000-12-26 02:30,0.1
,2000-12-26 03:00,0.1
,2000-12-26 03:30,0.1
,2000-12-26 04:00,0.1
,2000-12-26 04:30,0.1
,2000-12-26 05:00,0.1
,2000-12-26 05:30,0.1
,2000-12-26 06:00,0.1
,2000-12-26 06:30,0.1
,2000-12-26 07:00,0.1
,2000-12-26 07:30,0.1
,2000-12-26 08:00,0.1
,2000-12-26 08:30,0.1
,2000-12-26 09:00,0.1
,2000-12-26 09:30,0.1
,2000-12-26 10:00,0.1
,2000-12-26 10:30,0.1
,2000-12-26 11:00,0.1
,2000-12-26 11:30,0.1
,2000-12-26 12:00,0.1
,2000-12-26 12:30,0.1
,2000-12-26 13:00,0.1
,2000-12-26 13:30,0.1
,2000-12-26 14:00,0.1
,2000-12-26 14:30,0.1
,2000-12-26 15:00,0.1
,2000-12-26 15:30,0.1
,2000-12-26 16:00,0.1
,2000-12-26 16:30,0.1
,2000-12-26 17:00,0.1
,2000-12-26 17:30,0.1
,2000-12-26 18:00,0.1
,2000-12-26 18:30,0.1
,2000-12-26 19:00,0.1
,2000-12-26 19:30,0.1
,2000-12-26 20:00,0.1
,2000-12-26 20:30,0.1
,2000-12-26 21:00,0.1
,2000-12-26 21:30,0.1
,2000-12-26 22:00,0.1
,2000-12-26 22:30,0.1
,2000-12-26 23:00,0.1
,2000-12-26 23:30,0.1
,2000-12-27 00:00,0.1
,2000-12-27 00:30,0.1
,2000-12-27 01:00,0.1
,2000-12-27 01:30,0.1
,2000-12-27 02:00,0.1
,2000-12-27 02:30,0.1
,2000-12-27 03:00,0.1
,2000-12-27 03:30,0.1
,2000-12-27 04:00,0.1
,2000-12-27 04:30,0.1
,2000-12-27 05:00,0.1
,2000-12-27 05:30,0.1
,2000-12-27 06:00,0.1
,2000-12-27 06:30,0.1
,2000-12-27 07:00,0.1
,2000-12-27 07:30,0.1
,2000-12-27 08:00,0.1
,2000-12-27 08:30,0.1
,2000-12-27 09:00,0.1
,2000-12-27 09:30,0.1
,2000-12-27 10:00,0.1
,2000-12-27 10:30,0.1
,2000-12-27 11:00,0.1
,2000-12-27 11:30,0.1
,2000-12-27 12:00,0.1
,2000-12-27 12:30,0.1
,2000-12-27 13:00,0.1
,2000-12-27 13:30,0.1
,2000-12-27 14:00,0.1
,2000-12-27 14:30,0.1
,2000-12-27 15:00,0.1
,2000-12-27 15:30,0.1
,2000-12-27 16:00,0.1
,2000-12-27 16:30,0.1
,2000-12-27 17:00,0.1
,2000-12-27 17:30,0.1
,2000-12-27 18:00,0.1
,2000-12-27 18:30,0.1
,2000-12-27 19:00,0.1
,2000-12-27 19:30,0.1
,2000-12-27 20:00,0.1
,2000-12-27 20:30,0.1
,2000-12-27 21:00,0.1
,2000-12-27 21:30,0.1
,2000-12-27 22:00,0.1
,2000-12-27 22:30,0.1
,2000-12-27 23:00,0.1
,2000-12-27 23:30,0.1
,2000-12-28 00:00,0.1
,2000-12-28 00:30,0.1
,2000-12-28 01:00,0.1
,2000-12-28 01:30,0.1
,2000-12-28 02:00,0.1
,2000-12-28 02:30,0.1
,2000-12-28 03:00,0.1
,2000-12-28 03:30,0.1
,2000-12-28 04:00,0.1
,2000-12-28 04:30,0.1
,2000-12-28 05:00,0.1
,2000-12-28 05:30,0.1
,2000-12-28 06:00,0.1
,2000-12-28 06:30,0.1
,2000-12-28 07:00,0.1
,2000-12-28 07:30,0.1
,2000-12-28 08:00,0.1
,2000-12-28 08:30,0.1
,2000-12-28 09:00,0.1
,2000-12-28 09:30,0.1
,2000-12-28 10:00,0.1
,2000-12-28 10:30,0.1
,2000-12-28 11:00,0.1
,2000-12-28 11:30,0.1
,2000-12-28 12:00,0.1
,2000-12-28 12:30,0.1
,2000-12-28 13:00,0.1
,2000-12-28 13:30,0.1
,2000-12-28 14:00,0.1
,2000-12-28 14:30,0.1
,2000-12-28 15:00,0.1
,2000-12-28 15:30,0.1
,2000-12-28 16:00,0.1
,2000-12-28 16:30,0.1
,2000-12-28 17:00,0.1
,2000-12-28 17:30,0.1
,2000-12-28 18:00,0.1
,2000-12-28 18:30,0.1
,2000-12-28 19:00,0.1
,2000-12-28 19:30,0.1
,2000-12-28 20:00,0.1
,2000-12-28 20:30,0.1
,2000-12-28 21:00,0.1
,2000-12-28 21:30,0.1
,2000-12-28 22:00,0.1
,2000-12-28 22:30,0.1
,2000-12-28 23:00,0.1
,2000-12-28 23:30,0.1
,2000-12-29 00:00,0.1
,2000-12-29 00:30,0.1
,2000-12-29 01:00,0.1
,2000-12-29 01:30,0.1
,2000-12-29 02:00,0.1
,2000-12-29 02:30,0.1
,2000-12-29 03:00,0.1
,2000-12-29 03:30,0.1
,2000-12-29 04:00,0.1
,2000-12-29 04:30,0.1
,2000-12-29 05:00,0.1
,2000-12-29 05:30,0.1
,2000-12-29 06:00,0.1
,2000-12-29 06:30,0.1
,2000-12-29 07:00,0.1
,2000-12-29 07:30,0.1
,2000-12-29 08:00,0.1
,2000-12-29 08:30,0.1
,2000-12-29 09:00,0.1
,2000-12-29 09:30,0.1
,2000-12-29 10:00,0.1
,2000-12-29 10:30,0.1
,2000-12-29 11:00,0.1
,2000-12-29 11:30,0.1
,2000-12-29 12:00,0.1
,2000-12-29 12:30,0.1
,2000-12-29 13:00,0.1
,2000-12-29 13:30,0.1
,2000-12-29 14:00,0.1
,2000-12-29 14:30,0.1
,2000-12-29 15:00,0.1
,2000-12-29 15:30,0.1
,2000-12-29 16:00,0.1
,2000-12-29 16:30,0.1
,2000-12-29 17:00,0.1
,2000-12-29 17:30,0.1
,2000-12-29 18:00,0.1
,2000-12-29 18:30,0.1
,2000-12-29 19:00,0.1
,2000-12-29 19:30,0.1
,2000-12-29 20:00,0.1
,2000-12-29 20:30,0.1
,2000-12-29 21:00,0.1
,2000-12-29 21:30,0.1
,2000-12-29 22:00,0.1
,2000-12-29 22:30,0.1
,2000-12-29 23:00,0.1
,2000-12-29 23:30,0.1
,2000-12-30 00:00,0.1
,2000-12-30 00:30,0.1
,2000-12-30 01:00,0.1
,2000-12-30 01:30,0.1
,2000-12-30 02:00,0.1
,2000-12-30 02:30,0.1
,2000-12-30 03:00,0.1
,2000-12-30 03:30,0.1
,2000-12-30 04:00,0.1
,2000-12-30 04:30,0.1
,2000-12-30 05:00,0.1
,2000-12-30 05:30,0.1
,2000-12-30 06:00,0.1
,2000-12-30 06:30,0.1
,2000-12-30 07:00,0.1
,2000-12-30 07:30,0.1
,2000-12-30 08:00,0.1
,2000-12-30 08:30,0.1
,2000-12-30 09:00,0.1
,2000-12-30 09:30,0.1
,2000-12-30 10:00,0.1
,2000-12-30 10:30,0.1
,2000-12-30 11:00,0.1
,2000-12-30 11:30,0.1
,2000-12-30 12:00,0.1
,2000-12-30 12:30,0.1
,2000-12-30 13:00,0.1
,2000-12-30 13:30,0.1
,2000-12-30 14:00,0.1
,2000-12-30 14:30,0.1
,2000-12-30 15:00,0.1
,2000-12-30 15:30,0.1
,2000-12-30 16:00,0.1
,2000-12-30 16:30,0.1
,2000-12-30 17:00,0.1
,2000-12-30 17:30,0.1
,2000-12-30 18:00,0.1
,2000-12-30 18:30,0.1
,2000-12-30 19:00,0.1
,2000-12-30 19:30,0.1
,2000-12-30 20:00,0.1
,2000-12-30 20:30,0.1
,2000-12-30 21:00,0.1
,2000-12-30 21:30,0.1
,2000-12-30 22:00,0.1
,2000-12-30 22:30,0.1
,2000-12-30 23:00,0.1
,2000-12-30 23:30,0.1
,2000-12-31 00:00,0.1
,2000-12-31 00:30,0.1
,2000-12-31 01:00,0.1
,2000-12-31 01:30,0.1
,2000-12-31 02:00,0.1
,2000-12-31 02:30,0.1
,2000-12-31 03:00,0.1
,2000-12-31 03:30,0.1
,2000-12-31 04:00,0.1
,2000-12-31 04:30,0.1
,2000-12-31 05:00,0.1
,2000-12-31 05:30,0.1
,2000-12-31 06:00,0.1
,2000-12-31 06:30,0.1
,2000-12-31 07:00,0.1
,2000-12-31 07:30,0.1
,2000-12-31 08:00,0.1
,2000-12-31 08:30,0.1
,2000-12-31 09:00,0.1
,2000-12-31 09:30,0.1
,2000-12-31 10:00,0.1
,2000-12-31 10:30,0.1
,2000-12-31 11:00,0.1
,2000-12-31 11:30,0.1
,2000-12-31 12:00,0.1
,2000-12-31 12:30,0.1
,2000-12-31 13:00,0.1
,2000-12-31 13:30,0.1
,2000-12-31 14:00,0.1
,2000-12-31 14:30,0.1
,2000-12-31 15:00,0.1
,2000-12-31 15:30,0.1
,2000-12-31 16:00,0.1
,2000-12-31 16:30,0.1
,2000-12-31 17:00,0.1
,2000-12-31 17:30,0.1
,2000-12-31 18:00,0.1
,2000-12-31 18:30,0.1
,2000-12-31 19:00,0.1
,2000-12-31 19:30,0.1
,2000-12-31 20:00,0.1
,2000-12-31 20:30,0.1
,2000-12-31 21:00,0.1
,2000-12-31 21:30,0.1
,2000-12-31 22:00,0.1
,2000-12-31 22:30,0.1
,2000-12-31 23:00,0.1
,2000-12-31 23:30,0.1
,2001-01-01 00:00,0.1
,2001-01-01 00:30,0.100260416666667
,2001-01-01 01:00,0.100520833333333
,2001-01-01 01:30,0.10078125
,2001-01-01 02:00,0.101041666666667
,2001-01-01 02:30,0.101302083333333
,2001-01-01 03:00,0.1015625
,2001-01-01 03:30,0.101822916666667
,2001-01-01 04:00,0.102083333333333
,2001-01-01 04:30,0.10234375
,2001-01-01 05:00,0.102604166666667
,2001-01-01 05:30,0.102864583333333
,2001-01-01 06:00,0.103125
,2001-01-01 06:30,0.103385416666667
,2001-01-01 07:00,0.103645833333333
,2001-01-01 07:30,0.10390625
,2001-01-01 08:00,0.104166666666667
,2001-01-01 08:30,0.104427083333333
,2001-01-01 09:00,0.1046875
,2001-01-01 09:30,0.104947916666667
,2001-01-01 10:00,0.105208333333333
,2001-01-01 10:30,0.10546875
,2001-01-01 11:00,0.105729166666667
,2001-01-01 11:30,0.105989583333333
,2001-01-01 12:00,0.10625
,2001-01-01 12:30,0.106510416666667
,2001-01-01 13:00,0.106770833333333
