@T,table,
@H,timestamp,value_2
val,  ,2
,2001-01-01 00:00,1.05
,2001-01-01 01:00,0.7
,2001-01-01 02:00,0.3
,2001-01-01 03:00,0.64
,2001-01-01 04:00,0.63
,2001-01-01 05:00,0.37
,2001-01-01 06:00,0.31
,2001-01-01 07:00,0.47
,2001-01-01 08:00,1.37
,2001-01-01 09:00,2.54
,2001-01-01 10:00,3.1
,2001-01-01 11:00,3.73
,2001-01-01 12:00,4.09
,2001-01-01 13:00,4.85
,2001-01-01 14:00,5.17
,2001-01-01 15:00,5.08
,2001-01-01 16:00,4.33
,2001-01-01 17:00,2.38
,2001-01-01 18:00,1.62
,2001-01-01 19:00,0.79
,2001-01-01 20:00,0.93
,2001-01-01 21:00,1.3
,2001-01-01 22:00,0.63
,2001-01-01 23:00,0.68
,2001-01-02 00:00,0.2
,2001-01-02 01:00,0.31
,2001-01-02 02:00,0.24
,2001-01-02 03:00,0.33
,2001-01-02 04:00,0.27
,2001-01-02 05:00,0.28
,2001-01-02 06:00,0.59
,2001-01-02 07:00,0.38
,2001-01-02 08:00,1.22
,2001-01-02 09:00,2.57
,2001-01-02 10:00,3.6
,2001-01-02 11:00,4.47
,2001-01-02 12:00,4.92
,2001-01-02 13:00,5.7
,2001-01-02 14:00,5.73
,2001-01-02 15:00,5.7
,2001-01-02 16:00,4.1
,2001-01-02 17:00,1.82
,2001-01-02 18:00,1.77
,2001-01-02 19:00,2.25
,2001-01-02 20:00,1.69
,2001-01-02 21:00,0.84
,2001-01-02 22:00,1.21
,2001-01-02 23:00,1.75
,2001-01-03 00:00,1.73
,2001-01-03 01:00,1.17
,2001-01-03 02:00,1.83
,2001-01-03 03:00,1.28
,2001-01-03 04:00,0.91
,2001-01-03 05:00,0.46
,2001-01-03 06:00,0.95
,2001-01-03 07:00,0.71
,2001-01-03 08:00,1.7
,2001-01-03 09:00,3.82
,2001-01-03 10:00,4.13
,2001-01-03 11:00,3.9
,2001-01-03 12:00,4.71
,2001-01-03 13:00,5.38
,2001-01-03 14:00,5.33
,2001-01-03 15:00,4.98
,2001-01-03 16:00,4.49
,2001-01-03 17:00,2.38
,2001-01-03 18:00,1.52
,2001-01-03 19:00,2
,2001-01-03 20:00,1.34
,2001-01-03 21:00,1.67
,2001-01-03 22:00,0.97
,2001-01-03 23:00,1.03
,2001-01-04 00:00,0.69
,2001-01-04 01:00,0.52
,2001-01-04 02:00,0.44
,2001-01-04 03:00,0.5
,2001-01-04 04:00,0.59
,2001-01-04 05:00,0.72
,2001-01-04 06:00,0.97
,2001-01-04 07:00,0.57
,2001-01-04 08:00,1.68
,2001-01-04 09:00,3.07
,2001-01-04 10:00,3.58
,2001-01-04 11:00,4.17
,2001-01-04 12:00,4.66
,2001-01-04 13:00,5.43
,2001-01-04 14:00,5.82
,2001-01-04 15:00,5.51
,2001-01-04 16:00,4.62
,2001-01-04 17:00,3.5
,2001-01-04 18:00,2.32
,2001-01-04 19:00,2.04
,2001-01-04 20:00,1.52
,2001-01-04 21:00,1.34
,2001-01-04 22:00,1.08
,2001-01-04 23:00,0.63
,2001-01-05 00:00,1.38
,2001-01-05 01:00,0.5
,2001-01-05 02:00,0.96
,2001-01-05 03:00,0.96
,2001-01-05 04:00,0.4
,2001-01-05 05:00,0.77
,2001-01-05 06:00,0.62
,2001-01-05 07:00,0.53
,2001-01-05 08:00,1.27
,2001-01-05 09:00,3.15
,2001-01-05 10:00,3.97
,2001-01-05 11:00,4.18
,2001-01-05 12:00,4.82
,2001-01-05 13:00,5.33
,2001-01-05 14:00,5.98
,2001-01-05 15:00,5.83
,2001-01-05 16:00,4.36
,2001-01-05 17:00,2.82
,2001-01-05 18:00,2.97
,2001-01-05 19:00,2.73
,2001-01-05 20:00,1.33
,2001-01-05 21:00,1.04
,2001-01-05 22:00,1.51
,2001-01-05 23:00,0.82
,2001-01-06 00:00,0.69
,2001-01-06 01:00,0.8
,2001-01-06 02:00,1.37
,2001-01-06 03:00,0.81
,2001-01-06 04:00,0.96
,2001-01-06 05:00,0.4
,2001-01-06 06:00,0.72
,2001-01-06 07:00,0.65
,2001-01-06 08:00,1.84
,2001-01-06 09:00,3.69
,2001-01-06 10:00,4.05
,2001-01-06 11:00,4.54
,2001-01-06 12:00,5.26
,2001-01-06 13:00,5.85
,2001-01-06 14:00,6.32
,2001-01-06 15:00,6.37
,2001-01-06 16:00,5.31
,2001-01-06 17:00,4.13
,2001-01-06 18:00,2.36
,2001-01-06 19:00,2.24
,2001-01-06 20:00,2.15
,2001-01-06 21:00,1.47
,2001-01-06 22:00,1.74
,2001-01-06 23:00,1.08
,2001-01-07 00:00,1.37
,2001-01-07 01:00,0.7
,2001-01-07 02:00,1.14
,2001-01-07 03:00,0.9
,2001-01-07 04:00,1.37
,2001-01-07 05:00,0.73
,2001-01-07 06:00,0.42
,2001-01-07 07:00,0.99
,2001-01-07 08:00,2.09
,2001-01-07 09:00,3.1
,2001-01-07 10:00,4.53
,2001-01-07 11:00,5.68
,2001-01-07 12:00,5.94
,2001-01-07 13:00,6.71
,2001-01-07 14:00,7.2
,2001-01-07 15:00,7.28
,2001-01-07 16:00,6.59
,2001-01-07 17:00,3.97
,2001-01-07 18:00,4.21
,2001-01-07 19:00,2.97
,2001-01-07 20:00,2.43
,2001-01-07 21:00,2.04
,2001-01-07 22:00,2.61
,2001-01-07 23:00,1.94
,2001-01-08 00:00,2.21
,2001-01-08 01:00,1.81
,2001-01-08 02:00,1.25
,2001-01-08 03:00,1.33
,2001-01-08 04:00,1
,2001-01-08 05:00,0.83
,2001-01-08 06:00,1.25
,2001-01-08 07:00,1.08
,2001-01-08 08:00,2.74
,2001-01-08 09:00,3.34
,2001-01-08 10:00,3.69
,2001-01-08 11:00,4.35
,2001-01-08 12:00,4.68
,2001-01-08 13:00,5.18
,2001-01-08 14:00,5.1
,2001-01-08 15:00,5.11
,2001-01-08 16:00,4.55
,2001-01-08 17:00,2.82
,2001-01-08 18:00,2.57
,2001-01-08 19:00,2.28
,2001-01-08 20:00,1.48
,2001-01-08 21:00,1.49
,2001-01-08 22:00,1.3
,2001-01-08 23:00,1.04
,2001-01-09 00:00,1.4
,2001-01-09 01:00,1.68
,2001-01-09 02:00,0.92
,2001-01-09 03:00,0.75
,2001-01-09 04:00,1.21
,2001-01-09 05:00,0.87
,2001-01-09 06:00,0.8
,2001-01-09 07:00,1.42
,2001-01-09 08:00,1.44
,2001-01-09 09:00,2.32
,2001-01-09 10:00,2.96
,2001-01-09 11:00,3.43
,2001-01-09 12:00,4.3
,2001-01-09 13:00,4.64
,2001-01-09 14:00,4.6
,2001-01-09 15:00,4.95
,2001-01-09 16:00,3.58
,2001-01-09 17:00,3.69
,2001-01-09 18:00,3
,2001-01-09 19:00,3.05
,2001-01-09 20:00,2.84
,2001-01-09 21:00,3.02
,2001-01-09 22:00,2.75
,2001-01-09 23:00,2.93
,2001-01-10 00:00,2.16
,2001-01-10 01:00,1.88
,2001-01-10 02:00,1.15
,2001-01-10 03:00,1.56
,2001-01-10 04:00,1.13
,2001-01-10 05:00,0.32
,2001-01-10 06:00,0.09
,2001-01-10 07:00,0.12
,2001-01-10 08:00,0.15
,2001-01-10 09:00,0.86
,2001-01-10 10:00,1.18
,2001-01-10 11:00,2.42
,2001-01-10 12:00,2.78
,2001-01-10 13:00,3.14
,2001-01-10 14:00,3.34
,2001-01-10 15:00,3.37
,2001-01-10 16:00,2.58
,2001-01-10 17:00,0.97
,2001-01-10 18:00,1.1
,2001-01-10 19:00,0.81
,2001-01-10 20:00,0.37
,2001-01-10 21:00,0.15
,2001-01-10 22:00,0.41
,2001-01-10 23:00,1.29
,2001-01-11 00:00,0.86
,2001-01-11 01:00,0.99
,2001-01-11 02:00,0.98
,2001-01-11 03:00,1.09
,2001-01-11 04:00,0.87
,2001-01-11 05:00,1.29
,2001-01-11 06:00,1.52
,2001-01-11 07:00,1.47
,2001-01-11 08:00,2.58
,2001-01-11 09:00,2.71
,2001-01-11 10:00,3.69
,2001-01-11 11:00,4.5
,2001-01-11 12:00,3.91
,2001-01-11 13:00,5.32
,2001-01-11 14:00,5.82
,2001-01-11 15:00,6.18
,2001-01-11 16:00,5.06
,2001-01-11 17:00,4.15
,2001-01-11 18:00,4.85
,2001-01-11 19:00,5.02
,2001-01-11 20:00,7.89
,2001-01-11 21:00,7.95
,2001-01-11 22:00,7.39
,2001-01-11 23:00,6.19
,2001-01-12 00:00,5.44
,2001-01-12 01:00,5.31
,2001-01-12 02:00,4.96
,2001-01-12 03:00,4.98
,2001-01-12 04:00,5.04
,2001-01-12 05:00,4.14
,2001-01-12 06:00,4.17
,2001-01-12 07:00,4.16
,2001-01-12 08:00,4.87
,2001-01-12 09:00,5.42
,2001-01-12 10:00,5.39
,2001-01-12 11:00,5.05
,2001-01-12 12:00,3.14
,2001-01-12 13:00,1.73
,2001-01-12 14:00,0.56
,2001-01-12 15:00,3.402
,2001-01-12 16:00,2.814
,2001-01-12 17:00,2.226
,2001-01-12 18:00,2.147
,2001-01-12 19:00,0.02
,2001-01-12 20:00,1.988
,2001-01-12 21:00,1.988
,2001-01-12 22:00,0.12
,2001-01-12 23:00,1.99
,2001-01-13 00:00,2.017
,2001-01-13 01:00,2.043
,2001-01-13 02:00,2.07
,2001-01-13 03:00,2.138
,2001-01-13 04:00,0.45
,2001-01-13 05:00,1.37
,2001-01-13 06:00,1.64
,2001-01-13 07:00,0.67
,2001-01-13 08:00,1.46
,2001-01-13 09:00,3.25
,2001-01-13 10:00,2.56
,2001-01-13 11:00,2.75
,2001-01-13 12:00,3.68
,2001-01-13 13:00,3.44
,2001-01-13 14:00,4.27
,2001-01-13 15:00,3.97
,2001-01-13 16:00,3.25
,2001-01-13 17:00,1.57
,2001-01-13 18:00,1.1
,2001-01-13 19:00,0.81
,2001-01-13 20:00,0.99
,2001-01-13 21:00,1.25
,2001-01-13 22:00,1.18
,2001-01-13 23:00,1.23
,2001-01-14 00:00,1.26
,2001-01-14 01:00,1.35
,2001-01-14 02:00,1.06
,2001-01-14 03:00,1.21
,2001-01-14 04:00,1.2
,2001-01-14 05:00,0.7
,2001-01-14 06:00,0.94
,2001-01-14 07:00,1.19
