@T,table,
@H,timestamp,value_3
val,  ,3
,2012-01-01 00:00,0
,2012-01-01 00:30,0
,2012-01-01 01:00,0
,2012-01-01 01:30,0
,2012-01-01 02:00,0
,2012-01-01 02:30,0
,2012-01-01 03:00,0
,2012-01-01 03:30,0
,2012-01-01 04:00,0.349966
,2012-01-01 04:30,0
,2012-01-01 05:00,0
,2012-01-01 05:30,4.59877
,2012-01-01 06:00,5.4108
,2012-01-01 06:30,2.48394
,2012-01-01 07:00,0
,2012-01-01 07:30,4.09843
,2012-01-01 08:00,16.6083
,2012-01-01 08:30,39.3657
,2012-01-01 09:00,31.9576
,2012-01-01 09:30,88.6863
,2012-01-01 10:00,88.0561
,2012-01-01 10:30,62.1149
,2012-01-01 11:00,74.0752
,2012-01-01 11:30,58.3336
,2012-01-01 12:00,60.0219
,2012-01-01 12:30,39.0417
,2012-01-01 13:00,59.7143
,2012-01-01 13:30,45.7676
,2012-01-01 14:00,47.2468
,2012-01-01 14:30,43.5434
,2012-01-01 15:00,23.9668
,2012-01-01 15:30,12.2968
,2012-01-01 16:00,3.73994
,2012-01-01 16:30,0
,2012-01-01 17:00,6.32902
,2012-01-01 17:30,0
,2012-01-01 18:00,0
,2012-01-01 18:30,3.66741
,2012-01-01 19:00,0
,2012-01-01 19:30,0
,2012-01-01 20:00,2.94077
,2012-01-01 20:30,8.56368
,2012-01-01 21:00,0
,2012-01-01 21:30,1.74339
,2012-01-01 22:00,0
,2012-01-01 22:30,0
,2012-01-01 23:00,0
,2012-01-01 23:30,0
,2012-01-02 00:00,0
,2012-01-02 00:30,0
,2012-01-02 01:00,1.16865
,2012-01-02 01:30,0
,2012-01-02 02:00,4.18879
,2012-01-02 02:30,0.696535
,2012-01-02 03:00,9.27801
,2012-01-02 03:30,0.699272
,2012-01-02 04:00,0
,2012-01-02 04:30,3.48267
,2012-01-02 05:00,6.88187
,2012-01-02 05:30,8.06146
,2012-01-02 06:00,0
,2012-01-02 06:30,0
,2012-01-02 07:00,15.0898
,2012-01-02 07:30,13.4203
,2012-01-02 08:00,11.2718
,2012-01-02 08:30,29.0807
,2012-01-02 09:00,25.405
,2012-01-02 09:30,46.468
,2012-01-02 10:00,54.1628
,2012-01-02 10:30,36.8479
,2012-01-02 11:00,52.9359
,2012-01-02 11:30,28.7626
,2012-01-02 12:00,38.3758
,2012-01-02 12:30,51.8207
,2012-01-02 13:00,44.5612
,2012-01-02 13:30,36.8113
,2012-01-02 14:00,38.2812
,2012-01-02 14:30,21.8689
,2012-01-02 15:00,15.1301
,2012-01-02 15:30,15.8676
,2012-01-02 16:00,3.3668
,2012-01-02 16:30,0.644299
,2012-01-02 17:00,0
,2012-01-02 17:30,0
,2012-01-02 18:00,7.26001
,2012-01-02 18:30,0
,2012-01-02 19:00,0
,2012-01-02 19:30,6.0989
,2012-01-02 20:00,0
,2012-01-02 20:30,0.33505
,2012-01-02 21:00,0
,2012-01-02 21:30,0
,2012-01-02 22:00,0
,2012-01-02 22:30,0
,2012-01-02 23:00,2.69509
,2012-01-02 23:30,4.33051
,2012-01-03 00:00,3.16118
,2012-01-03 00:30,0
,2012-01-03 01:00,0
,2012-01-03 01:30,0
,2012-01-03 02:00,0.425129
,2012-01-03 02:30,1.63195
,2012-01-03 03:00,1.6964
,2012-01-03 03:30,7.25599
,2012-01-03 04:00,5.44302
,2012-01-03 04:30,3.75622
,2012-01-03 05:00,1.26579
,2012-01-03 05:30,0
,2012-01-03 06:00,2.56037
,2012-01-03 06:30,0
,2012-01-03 07:00,0.573238
,2012-01-03 07:30,0.373016
,2012-01-03 08:00,12.1916
,2012-01-03 08:30,46.1553
,2012-01-03 09:00,35.2281
,2012-01-03 09:30,54.2958
,2012-01-03 10:00,52.4957
,2012-01-03 10:30,50.8116
,2012-01-03 11:00,62.0002
,2012-01-03 11:30,61.2706
,2012-01-03 12:00,65.2634
,2012-01-03 12:30,71.7123
,2012-01-03 13:00,68.517
,2012-01-03 13:30,61.7396
,2012-01-03 14:00,52.4061
,2012-01-03 14:30,42.1352
,2012-01-03 15:00,28.9744
,2012-01-03 15:30,26.52
,2012-01-03 16:00,7.10682
,2012-01-03 16:30,0.136431
,2012-01-03 17:00,2.50399
,2012-01-03 17:30,0
,2012-01-03 18:00,0.166749
,2012-01-03 18:30,1.10936
,2012-01-03 19:00,0
,2012-01-03 19:30,0
,2012-01-03 20:00,1.95551
,2012-01-03 20:30,0
,2012-01-03 21:00,0.367951
,2012-01-03 21:30,0.957774
,2012-01-03 22:00,0
,2012-01-03 22:30,0
,2012-01-03 23:00,0
,2012-01-03 23:30,0
,2012-01-04 00:00,0
,2012-01-04 00:30,0
,2012-01-04 01:00,0
,2012-01-04 01:30,0
,2012-01-04 02:00,0
,2012-01-04 02:30,1.21548
,2012-01-04 03:00,3.99647
,2012-01-04 03:30,0
,2012-01-04 04:00,0
,2012-01-04 04:30,0
,2012-01-04 05:00,0
,2012-01-04 05:30,0
,2012-01-04 06:00,0
,2012-01-04 06:30,0.98947
,2012-01-04 07:00,5.41728
,2012-01-04 07:30,4.41679
,2012-01-04 08:00,22.8598
,2012-01-04 08:30,39.6133
,2012-01-04 09:00,40.3423
,2012-01-04 09:30,49.745
,2012-01-04 10:00,48.6937
,2012-01-04 10:30,38.3153
,2012-01-04 11:00,55.6121
,2012-01-04 11:30,50.4222
,2012-01-04 12:00,60.0207
,2012-01-04 12:30,56.8039
