@T,table,
@H,timestamp,value_3
val,  ,3
,2002-07-04 00:00,0
,2002-07-04 00:30,0
,2002-07-04 01:00,0
,2002-07-04 01:30,0
,2002-07-04 02:00,0
,2002-07-04 02:30,0
,2002-07-04 03:00,0
,2002-07-04 03:30,0
,2002-07-04 04:00,0
,2002-07-04 04:30,0
,2002-07-04 05:00,0
,2002-07-04 05:30,2.69286
,2002-07-04 06:00,12.8313
,2002-07-04 06:30,11.5908
,2002-07-04 07:00,7.25248
,2002-07-04 07:30,8.54526
,2002-07-04 08:00,16.8612
,2002-07-04 08:30,13.1491
,2002-07-04 09:00,11.6673
,2002-07-04 09:30,21.2961
,2002-07-04 10:00,51.0382
,2002-07-04 10:30,18.7019
,2002-07-04 11:00,11.4581
,2002-07-04 11:30,33.8853
,2002-07-04 12:00,21.8419
,2002-07-04 12:30,33.6782
,2002-07-04 13:00,19.77
,2002-07-04 13:30,9.90884
,2002-07-04 14:00,26.3294
,2002-07-04 14:30,19.3194
,2002-07-04 15:00,0
,2002-07-04 15:30,20.4739
,2002-07-04 16:00,0
,2002-07-04 16:30,9.35071
,2002-07-04 17:00,12.2636
,2002-07-04 17:30,0
,2002-07-04 18:00,1.77654
,2002-07-04 18:30,1.31391
,2002-07-04 19:00,0
,2002-07-04 19:30,2.91024
,2002-07-04 20:00,0
,2002-07-04 20:30,0
,2002-07-04 21:00,0
,2002-07-04 21:30,0
,2002-07-04 22:00,0.958874
,2002-07-04 22:30,0
,2002-07-04 23:00,0
,2002-07-04 23:30,1.60894
,2002-07-05 00:00,0
,2002-07-05 00:30,0
,2002-07-05 01:00,0
,2002-07-05 01:30,0
,2002-07-05 02:00,0
,2002-07-05 02:30,0
,2002-07-05 03:00,0
,2002-07-05 03:30,0
,2002-07-05 04:00,0
,2002-07-05 04:30,0.140021
,2002-07-05 05:00,1.8297
,2002-07-05 05:30,0
,2002-07-05 06:00,7.51404
,2002-07-05 06:30,8.10778
,2002-07-05 07:00,12.6181
,2002-07-05 07:30,8.90348
,2002-07-05 08:00,10.0142
,2002-07-05 08:30,14.4214
,2002-07-05 09:00,2.77889
,2002-07-05 09:30,16.2371
,2002-07-05 10:00,12.2775
,2002-07-05 10:30,16.3987
,2002-07-05 11:00,28.5078
,2002-07-05 11:30,26.9636
,2002-07-05 12:00,30.3759
,2002-07-05 12:30,17.6052
,2002-07-05 13:00,9.9328
,2002-07-05 13:30,17.3862
,2002-07-05 14:00,24.6526
,2002-07-05 14:30,14.9492
,2002-07-05 15:00,0
,2002-07-05 15:30,1.71737
,2002-07-05 16:00,12.5945
,2002-07-05 16:30,11.805
,2002-07-05 17:00,0
,2002-07-05 17:30,12.2341
,2002-07-05 18:00,4.82934
,2002-07-05 18:30,1.47395
,2002-07-05 19:00,0
,2002-07-05 19:30,0
,2002-07-05 20:00,0
,2002-07-05 20:30,0.921219
,2002-07-05 21:00,0.142554
,2002-07-05 21:30,0.891632
,2002-07-05 22:00,0
,2002-07-05 22:30,0
,2002-07-05 23:00,0
,2002-07-05 23:30,0
,2002-07-06 00:00,1.24533
,2002-07-06 00:30,0
,2002-07-06 01:00,0
,2002-07-06 01:30,0
,2002-07-06 02:00,0.509696
,2002-07-06 02:30,0
,2002-07-06 03:00,0
,2002-07-06 03:30,0
,2002-07-06 04:00,0
,2002-07-06 04:30,0
,2002-07-06 05:00,0
,2002-07-06 05:30,2.61707
,2002-07-06 06:00,8.66484
,2002-07-06 06:30,27.1322
,2002-07-06 07:00,4.26719
,2002-07-06 07:30,10.7144
,2002-07-06 08:00,7.54189
,2002-07-06 08:30,7.66831
,2002-07-06 09:00,17.8542
,2002-07-06 09:30,15.3716
,2002-07-06 10:00,17.1145
,2002-07-06 10:30,20.3018
,2002-07-06 11:00,18.566
,2002-07-06 11:30,24.5693
,2002-07-06 12:00,13.6394
,2002-07-06 12:30,23.2097
,2002-07-06 13:00,16.0449
,2002-07-06 13:30,14.8409
,2002-07-06 14:00,23.7188
,2002-07-06 14:30,20.9238
,2002-07-06 15:00,17.7841
,2002-07-06 15:30,0
,2002-07-06 16:00,0
,2002-07-06 16:30,0
,2002-07-06 17:00,0
,2002-07-06 17:30,2.25381
,2002-07-06 18:00,6.76681
,2002-07-06 18:30,0
,2002-07-06 19:00,0
,2002-07-06 19:30,0
,2002-07-06 20:00,0
,2002-07-06 20:30,0
,2002-07-06 21:00,0
,2002-07-06 21:30,0
,2002-07-06 22:00,0
,2002-07-06 22:30,0
,2002-07-06 23:00,0
,2002-07-06 23:30,0
,2002-07-07 00:00,0
,2002-07-07 00:30,0
,2002-07-07 01:00,0
,2002-07-07 01:30,1.01246
,2002-07-07 02:00,0
,2002-07-07 02:30,0
,2002-07-07 03:00,0
,2002-07-07 03:30,0
,2002-07-07 04:00,0
,2002-07-07 04:30,0.145407
,2002-07-07 05:00,0
,2002-07-07 05:30,1.12825
,2002-07-07 06:00,2.74927
,2002-07-07 06:30,5.37871
,2002-07-07 07:00,3.54497
,2002-07-07 07:30,12.9304
,2002-07-07 08:00,9.21987
,2002-07-07 08:30,12.9614
,2002-07-07 09:00,10.2889
,2002-07-07 09:30,20.2183
,2002-07-07 10:00,13.8015
,2002-07-07 10:30,26.3873
,2002-07-07 11:00,30.4129
,2002-07-07 11:30,26.7073
,2002-07-07 12:00,15.8375
,2002-07-07 12:30,19.2288
,2002-07-07 13:00,34.7123
,2002-07-07 13:30,16.3801
