@T,table
Created,2021-02-16 22:47
Author,HortonMachine library
@H,timestamp,value_4
ID,,4
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2008-01-01 00:00,5.660434770409961
,2008-01-01 00:30,5.619699265642545
,2008-01-01 01:00,5.573186184304842
,2008-01-01 01:30,5.606436112767815
,2008-01-01 02:00,5.645447525937853
,2008-01-01 02:30,5.678624633099013
,2008-01-01 03:00,5.717507571115269
,2008-01-01 03:30,5.7506590830061635
,2008-01-01 04:00,5.789460184111076
,2008-01-01 04:30,5.5478569403809495
,2008-01-01 05:00,5.31118687409735
,2008-01-01 05:30,5.067830331595353
,2008-01-01 06:00,4.823580062679467
,2008-01-01 06:30,4.584269429226135
,2008-01-01 07:00,4.338275136753502
,2008-01-01 07:30,4.120807620302934
,2008-01-01 08:00,3.902628769017561
,2008-01-01 08:30,0.0
,2008-01-01 09:00,0.0
,2008-01-01 09:30,0.0
,2008-01-01 10:00,0.0
,2008-01-01 10:30,0.0
,2008-01-01 11:00,0.0
,2008-01-01 11:30,0.0
,2008-01-01 12:00,0.0
,2008-01-01 12:30,0.0
,2008-01-01 13:00,0.0
,2008-01-01 13:30,0.0
,2008-01-01 14:00,0.0
,2008-01-01 14:30,0.0
,2008-01-01 15:00,0.0
,2008-01-01 15:30,0.0
,2008-01-01 16:00,0.0
,2008-01-01 16:30,0.0
,2008-01-01 17:00,1.4774010911714563
,2008-01-01 17:30,1.4163326473031888
,2008-01-01 18:00,1.3490747181339435
,2008-01-01 18:30,1.287870982010174
,2008-01-01 19:00,1.2204752168787025
,2008-01-01 19:30,1.2081668333606628
,2008-01-01 20:00,1.1958567718375737
,2008-01-01 20:30,1.1835450320393797
,2008-01-01 21:00,1.177373384861433
,2008-01-01 21:30,1.1650592834041416
,2008-01-01 22:00,1.1527435030635178
,2008-01-01 22:30,1.2693547028052976
,2008-01-01 23:00,1.385756425063654
,2008-01-01 23:30,1.5019492337052125
,2008-01-02 00:00,1.6179336905746717
,2008-01-02 00:30,1.7337103555038582
,2008-01-02 01:00,1.8492797863207318
,2008-01-02 01:30,1.8550407706852483
,2008-01-02 02:00,1.8547239961118152
,2008-01-02 02:30,1.854407167599852
,2008-01-02 03:00,1.854074439595873
,2008-01-02 03:30,1.8537575004668476
,2008-01-02 04:00,1.8534405073572557
,2008-01-02 04:30,2.2647869448017404
,2008-01-02 05:00,2.667478812389562
,2008-01-02 05:30,3.073542368684583
,2008-01-02 06:00,3.471100040878304
,2008-01-02 06:30,3.8720295602723795
,2008-01-02 07:00,4.26455373286243
,2008-01-02 07:30,4.643384181602293
,2008-01-02 08:00,5.019976441984299
